remark,"CSV-Import-Export"
remark,"Date = Fri Feb 01 11:23:29 2019"
remark,"Version = RSLogix 5000 v19.00"
remark,"Owner = Usuario de Windows"
remark,"Company = mds"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,HORA_MM,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Active,"0=ModbusSlave Program InActive,$N1=ModbusSlave Program Active","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Data_Coils0,"Coils (0XXXX)","INT[4097]","","(RADIX := Binary, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,Mod_Data_Coils0,"unused",,"Mod_Data_Coils0[4096]"
TAG,,Mod_Data_Contacts1,"Contacts (1XXXX)","INT[4097]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,Mod_Data_Contacts1,"unused",,"Mod_Data_Contacts1[4096]"
TAG,,Mod_Data_HoldReg4,"Holding Registers (4XXXX)","INT[65536]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Data_InpReg3,"Input Registers (3XXXX)","INT[65536]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Node_Address,"Slave (Node) Address 0-255","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Range_Coils0,"Coils RegisterSize (0) in bits 1-65535","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Range_Contacts1,"Contacts RegisterSize (1) in bits 1-65535","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Range_HoldReg4,"Holding Registers Size (4) in words 1-65537","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Mod_Range_InpReg3,"Input  RegisterSize (3) in words 1-65537","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,NIVEL_MEDIDO,"","REAL[10]","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,TANQUES,"","TANQUES_TIPO2[6]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TOV,"","REAL[10]","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,Modbus_Slave,Addr,"Start Address","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Bit15_Store_AND,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Bit15_Store_OR,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,BitEndC,"last bit to be effected","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Bitoper,"any bit operation","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,BitStartC,"First bit to be effected","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,BlankArray,"AND Mask","SINT[8]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ByteCount,"number of bytes for words","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ByteCount2,"number of bytes for bits","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,bytes_to_Check,"parameter passing","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,CharC,"","SERIAL_PORT_CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,check_bytes,"bytes minus CRCs","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Clear1,"always false","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,control_1,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,control_2,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,control_3,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,control_4,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,control_5,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,control_6,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Counter6,"diagnostic message counter","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Counter7,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,CRCgood,"CRC test","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,crchiad,"CRC hi byte - swapped","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,crcload,"CRC lo byte - swapped","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,DataHold,"used for swapping","INT[140]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,DataRec,"one shot","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,data_byte_being_checked,"in CRC routine","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,DATE_MM,"","DINT[7]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,diagnostic,"function code 8","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,DoubWordCount,"number of 32 bit words","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,EndAddr,"last bit or last word","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,EndWord,"last word","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Errfound,"command cannot be executed","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Escribiendomodbus_11,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Escribiendomodbus_22,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Escribiendomodbus_33,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,FuncFound,"function implemented","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Func_Code,"received function code","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Hold3,"delay chain","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Hold4,"delay chain","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,hora,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,initial,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,LCounter1,"loop counter for getting/putting data","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,LCounter2,"loop counter for swapping","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,leyendomodubus_11,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,leyendomodubus_22,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,leyendomodubus_33,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,MaskAnd,"single coil reset mask","INT[16]","","(RADIX := Binary, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,MaskOr,"single coil set mask","INT[16]","","(RADIX := Binary, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,maxCount,"diagostic message length","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,MsgCountRec,"Messages received","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,MsgCountTrans,"Messages sent","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,NodeFound2,"One shot","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,NonZeroBit,"odd byte count","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Notzero2,"remainder","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,off,"zero constant","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,pruebaxx,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Quantity,"number of bits / words","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ReadCoils,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ReadHReg,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ReadInputs,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ReadIRegisters,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,read_serial_port,"","SERIAL_PORT_CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,recdbytes,"# of bytes received","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Receive_Buffer,"Receive Buffer","SINT[260]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,Receive_Buffer6_temp,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ShftArry,"","CONTROL","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ShftIndex,"Shift Index","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Modbus_Slave,ShiftArray,"Shift Array","DINT[50]","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
